dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000061,14.150000,0.000199,0.019940,0.996993,49.849633,0.000018
0.020000,0.000661,14.150000,0.000799,0.029960,0.501024,-24.798423,0.000190
0.020000,0.002009,14.150001,0.002147,0.067405,1.872245,68.561060,0.000578
0.020000,0.004405,14.150003,0.004543,0.119813,2.620374,37.406453,0.001269
0.020000,0.007998,14.150009,0.008136,0.179674,2.993066,18.634577,0.002306
0.020000,0.012788,14.150024,0.012926,0.239482,2.990376,-0.134494,0.003689
0.020000,0.018772,14.150051,0.018910,0.299218,2.986814,-0.178116,0.005421
0.020000,0.025949,14.150097,0.026088,0.358866,2.982398,-0.220797,0.007503
0.020000,0.034317,14.150170,0.034456,0.418409,2.977156,-0.262094,0.009936
0.020000,0.043873,14.150278,0.044013,0.477831,2.971119,-0.301852,0.012723
0.020000,0.054615,14.150432,0.054755,0.537118,2.964327,-0.339586,0.015865
0.020000,0.066538,14.150642,0.066680,0.596254,2.956827,-0.375031,0.019367
0.020000,0.079639,14.150921,0.079785,0.655228,2.948673,-0.407698,0.023230
0.020000,0.093915,14.151283,0.094065,0.714026,2.939927,-0.437269,0.027458
0.020000,0.109361,14.151743,0.109518,0.772640,2.930665,-0.463116,0.032053
0.020000,0.125973,14.152317,0.126139,0.831059,2.920970,-0.484763,0.037019
0.020000,0.143744,14.153022,0.143925,0.889278,2.910937,-0.501645,0.042361
0.020000,0.162671,14.153879,0.162870,0.947291,2.900676,-0.513051,0.048080
0.020000,0.182746,14.154906,0.182972,1.005097,2.890309,-0.518357,0.054181
0.020000,0.203965,14.156126,0.204226,1.062697,2.879972,-0.516825,0.060667
0.020000,0.226321,14.157561,0.226628,1.120093,2.869823,-0.507481,0.067543
0.020000,0.249807,14.159235,0.250174,1.177294,2.860029,-0.489654,0.074810
0.020000,0.274417,14.161174,0.274860,1.234310,2.850783,-0.462324,0.082474
0.020000,0.300144,14.163405,0.300683,1.291155,2.842292,-0.424554,0.090535
0.020000,0.326980,14.165956,0.327640,1.347851,2.834785,-0.375358,0.098998
0.020000,0.354918,14.168856,0.355729,1.404421,2.828511,-0.313694,0.107864
0.020000,0.383951,14.172136,0.384947,1.460896,2.823739,-0.238594,0.117135
0.020000,0.414072,14.175828,0.415293,1.517311,2.820758,-0.149057,0.126812
0.020000,0.445273,14.179966,0.446767,1.573709,2.819878,-0.044001,0.136895
0.020000,0.477547,14.184584,0.479370,1.630137,2.821422,0.077222,0.147384
0.020000,0.510887,14.189720,0.513103,1.686652,2.825734,0.215602,0.158278
0.020000,0.545286,14.195409,0.547969,1.743315,2.833168,0.371693,0.169573
0.020000,0.580737,14.201693,0.583973,1.800197,2.844085,0.545839,0.181265
0.020000,0.617235,14.208610,0.621121,1.857374,2.858853,0.738389,0.193351
0.020000,0.654773,14.216203,0.659419,1.914931,2.877835,0.949117,0.205823
0.020000,0.693347,14.224516,0.698878,1.972959,2.901388,1.177664,0.218672
0.020000,0.732952,14.233592,0.739510,2.031556,2.929852,1.423174,0.231890
0.020000,0.773583,14.243478,0.781326,2.090826,2.963540,1.684401,0.245463
0.020000,0.815237,14.254222,0.824344,2.150881,3.002733,1.959645,0.259380
0.020000,0.857912,14.265873,0.868580,2.211834,3.047667,2.246700,0.273624
0.020000,0.901606,14.278480,0.914057,2.273805,3.098524,2.542876,0.288176
0.020000,0.946317,14.292096,0.960795,2.336913,3.155424,2.844964,0.303019
0.020000,0.992044,14.306773,1.008820,2.401282,3.218411,3.149379,0.318129
0.020000,1.038789,14.322566,1.058161,2.467031,3.287452,3.452056,0.333483
0.020000,1.086551,14.339531,1.108847,2.534279,3.362425,3.748647,0.349054
0.020000,1.135332,14.357723,1.160909,2.603141,3.443117,4.034583,0.364815
0.020000,1.185134,14.377199,1.214384,2.673726,3.529221,4.305187,0.380735
0.020000,1.235958,14.398019,1.269307,2.746133,3.620338,4.555864,0.396783
0.020000,1.287806,14.420239,1.325716,2.820452,3.715981,4.782168,0.412926
0.020000,1.340681,14.443919,1.383651,2.896764,3.815583,4.980089,0.429129
0.020000,1.394585,14.469117,1.443154,2.975134,3.918504,5.146058,0.445356
0.020000,1.449520,14.495891,1.504266,3.055615,4.024049,5.277223,0.461570
0.020000,1.505488,14.524299,1.567031,3.138245,4.131479,5.371519,0.477734
0.020000,1.562490,14.554398,1.631492,3.223045,4.240033,5.427717,0.493811
0.020000,1.620528,14.586243,1.697692,3.310024,4.348945,5.445591,0.509762
0.020000,1.679603,14.619887,1.765676,3.399173,4.457462,5.425828,0.525550
0.020000,1.739715,14.655382,1.835485,3.490471,4.564864,5.370088,0.541137
0.020000,1.800864,14.692778,1.907163,3.583880,4.670482,5.280910,0.556487
0.020000,1.863051,14.732121,1.980750,3.679355,4.773714,5.161627,0.571563
0.020000,1.926276,14.773454,2.056286,3.776835,4.874039,5.016249,0.586332
0.020000,1.990539,14.816818,2.133812,3.876256,4.971026,4.849327,0.600758
0.020000,2.055840,14.862249,2.213362,3.977543,5.064342,4.665788,0.614810
0.020000,2.122182,14.909782,2.294975,4.080618,5.153757,4.470793,0.628457
0.020000,2.189567,14.959444,2.378683,4.185401,5.239149,4.269584,0.641668
0.020000,2.257998,15.011261,2.464519,4.291811,5.320496,4.067343,0.654416
0.020000,2.327480,15.065255,2.552514,4.399768,5.397878,3.869090,0.666673
0.020000,2.398022,15.121443,2.642698,4.509198,5.471469,3.679547,0.678415
0.020000,2.469632,15.179837,2.735099,4.620028,5.541531,3.503135,0.689616
0.020000,2.542324,15.240445,2.829743,4.732196,5.608408,3.343845,0.700254
0.020000,2.616112,15.303274,2.926656,4.845647,5.672514,3.205282,0.710305
0.020000,2.691016,15.368323,3.025862,4.960333,5.734327,3.090631,0.719750
0.020000,2.767059,15.435589,3.127387,5.076221,5.794380,3.002653,0.728566
0.020000,2.844268,15.505064,3.231253,5.193286,5.853255,2.943768,0.736733
0.020000,2.922676,15.576737,3.337483,5.311517,5.911576,2.916037,0.744231
0.020000,3.002321,15.650593,3.446101,5.430917,5.970001,2.921242,0.751040
0.020000,3.083245,15.726613,3.557131,5.551502,6.029219,2.960912,0.757139
0.020000,3.165497,15.804773,3.670597,5.673301,6.089947,3.036414,0.762507
0.020000,3.249134,15.885048,3.786525,5.796359,6.152925,3.148894,0.767122
0.020000,3.334218,15.967405,3.904939,5.920738,6.218914,3.299445,0.770960
0.020000,3.420820,16.051810,4.025870,6.046511,6.288694,3.488993,0.773999
0.020000,3.508878,16.138086,4.149149,6.163965,5.872662,-20.801581,0.776209
0.020000,3.598195,16.225908,4.274409,6.263001,4.951805,-46.042875,0.777563
0.020000,3.688572,16.314936,4.401271,6.343103,4.005112,-47.334638,0.778044
0.020000,3.779680,16.404691,4.529164,6.394646,2.577136,-71.398779,0.777645
0.020000,3.871179,16.494680,4.657500,6.416831,1.109268,-73.393387,0.776373
0.020000,3.962850,16.584532,4.785863,6.418118,0.064325,-52.247191,0.774243
0.020000,4.054461,16.673869,4.913823,6.397989,-1.006419,-53.537170,0.771281
0.020000,4.145903,16.762443,5.041129,6.365322,-1.633360,-31.347080,0.767517
0.020000,4.237207,16.850151,5.167735,6.330304,-1.750878,-5.875861,0.762974
0.020000,4.328415,16.936907,5.293614,6.293960,-1.817210,-3.316610,0.757677
0.020000,4.419565,17.022630,5.418741,6.256351,-1.880455,-3.162278,0.751646
0.020000,4.510692,17.107241,5.543092,6.217524,-1.941377,-3.046107,0.744903
0.020000,4.601826,17.190663,5.666642,6.177509,-2.000718,-2.967045,0.737469
0.020000,4.692993,17.272823,5.789368,6.136325,-2.059197,-2.923912,0.729365
0.020000,4.784216,17.353650,5.911248,6.093975,-2.117505,-2.915400,0.720609
0.020000,4.875512,17.433075,6.032257,6.050449,-2.176304,-2.939970,0.711224
0.020000,4.966893,17.511030,6.152371,6.005725,-2.236221,-2.995872,0.701229
0.020000,5.058365,17.587452,6.271567,5.959768,-2.297843,-3.081070,0.690646
0.020000,5.149932,17.662277,6.389817,5.912534,-2.361707,-3.193191,0.679497
0.020000,5.241587,17.735446,6.507097,5.863968,-2.428297,-3.329497,0.667806
