dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000102,11.850000,0.000199,0.019940,0.996993,49.849633,0.000018
0.020000,0.001098,11.850000,0.001195,0.049799,1.492961,24.798430,0.000190
0.020000,0.003339,11.850001,0.003436,0.112053,3.112718,80.987814,0.000578
0.020000,0.007323,11.850005,0.007421,0.199225,4.358574,62.292817,0.001269
0.020000,0.013301,11.850015,0.013399,0.298882,4.982875,31.215065,0.002306
0.020000,0.021273,11.850039,0.021370,0.398594,4.985563,0.134396,0.003689
0.020000,0.031240,11.850085,0.031338,0.498376,4.989126,0.178120,0.005421
0.020000,0.043205,11.850162,0.043303,0.598247,4.993539,0.220691,0.007503
0.020000,0.057169,11.850284,0.057267,0.698223,4.998781,0.262079,0.009936
0.020000,0.073134,11.850465,0.073234,0.798319,5.004815,0.301712,0.012723
0.020000,0.091104,11.850721,0.091205,0.898551,5.011605,0.339498,0.015865
0.020000,0.111079,11.851073,0.111183,0.998933,5.019103,0.374897,0.019367
0.020000,0.133064,11.851542,0.133173,1.099478,5.027256,0.407640,0.023230
0.020000,0.157060,11.852150,0.157177,1.200198,5.035997,0.437074,0.027458
0.020000,0.183070,11.852924,0.183199,1.301103,5.045256,0.462940,0.032053
0.020000,0.211098,11.853892,0.211243,1.402202,5.054948,0.484598,0.037019
0.020000,0.241144,11.855085,0.241313,1.503502,5.064977,0.501423,0.042361
0.020000,0.273211,11.856537,0.273413,1.605006,5.075234,0.512885,0.048080
0.020000,0.307301,11.858281,0.307548,1.706718,5.085597,0.518162,0.054181
0.020000,0.343414,11.860357,0.343720,1.808637,5.095927,0.516468,0.060667
0.020000,0.381551,11.862805,0.381936,1.910758,5.106072,0.507265,0.067543
0.020000,0.421711,11.865668,0.422197,2.013076,5.115859,0.489359,0.074810
0.020000,0.463891,11.868992,0.464509,2.115578,5.125100,0.462012,0.082474
0.020000,0.508090,11.872825,0.508874,2.218249,5.133584,0.424225,0.090535
0.020000,0.554304,11.877218,0.555295,2.321071,5.141084,0.374997,0.098998
0.020000,0.602525,11.882223,0.603775,2.424018,5.147351,0.313362,0.107864
0.020000,0.652747,11.887897,0.654317,2.527060,5.152116,0.238224,0.117135
0.020000,0.704959,11.894297,0.706920,2.630162,5.155087,0.148583,0.126812
0.020000,0.759150,11.901484,0.761585,2.733281,5.155961,0.043703,0.136895
0.020000,0.815305,11.909520,0.818313,2.836369,5.154407,-0.077705,0.147384
0.020000,0.873408,11.918469,0.877100,2.939371,5.150087,-0.216039,0.158278
0.020000,0.933437,11.928398,0.937945,3.042224,5.142646,-0.372047,0.169573
0.020000,0.995368,11.939375,1.000842,3.144858,5.131719,-0.546315,0.181265
0.020000,1.059176,11.951469,1.065786,3.247197,5.116944,-0.738764,0.193351
0.020000,1.124830,11.964749,1.132769,3.349156,5.097954,-0.949523,0.205823
0.020000,1.192294,11.979287,1.201782,3.450644,5.074393,-1.178021,0.218672
0.020000,1.261531,11.995154,1.272813,3.551563,5.045923,-1.423500,0.231890
0.020000,1.332496,12.012421,1.345849,3.651807,5.012229,-1.684701,0.245463
0.020000,1.405144,12.031159,1.420875,3.751268,4.973031,-1.959890,0.259380
0.020000,1.479422,12.051437,1.497871,3.849830,4.928094,-2.246877,0.273624
0.020000,1.555276,12.073323,1.576819,3.947374,4.877235,-2.542963,0.288176
0.020000,1.632643,12.096884,1.657694,4.043781,4.820334,-2.845019,0.303019
0.020000,1.711461,12.122182,1.740473,4.138928,4.757348,-3.149325,0.318129
0.020000,1.791662,12.149278,1.825127,4.232694,4.688310,-3.451906,0.333483
0.020000,1.873172,12.178229,1.911626,4.324961,4.613342,-3.748396,0.349054
0.020000,1.955918,12.209086,1.999938,4.415614,4.532657,-4.034221,0.364815
0.020000,2.039821,12.241899,2.090029,4.504545,4.446563,-4.304734,0.380735
0.020000,2.124801,12.276708,2.181862,4.591655,4.355457,-4.555282,0.396783
0.020000,2.210776,12.313553,2.275399,4.676851,4.259827,-4.781507,0.412926
0.020000,2.297662,12.352463,2.370600,4.760056,4.160241,-4.979295,0.429129
0.020000,2.385376,12.393464,2.467424,4.841203,4.057337,-5.145179,0.445356
0.020000,2.473835,12.436576,2.565829,4.920239,3.951812,-5.276271,0.461570
0.020000,2.562955,12.481810,2.665772,4.997127,3.844402,-5.370469,0.477734
0.020000,2.652656,12.529172,2.767209,5.071844,3.735870,-5.426626,0.493811
0.020000,2.742859,12.578663,2.870096,5.144384,3.626981,-5.444441,0.509762
0.020000,2.833487,12.630276,2.974391,5.214754,3.518488,-5.424653,0.525550
0.020000,2.924470,12.683998,3.080051,5.282976,3.411110,-5.368900,0.541137
0.020000,3.015739,12.739811,3.187033,5.349086,3.305516,-5.279724,0.556487
0.020000,3.107231,12.797691,3.295295,5.413132,3.202306,-5.160462,0.571563
0.020000,3.198887,12.857609,3.404799,5.475173,3.102004,-5.015124,0.586332
0.020000,3.290655,12.919531,3.515504,5.535273,3.005039,-4.848251,0.600758
0.020000,3.382488,12.983418,3.627374,5.593508,2.911743,-4.664779,0.614810
0.020000,3.474345,13.049229,3.740373,5.649955,2.822346,-4.469862,0.628457
0.020000,3.566191,13.116917,3.854467,5.704695,2.736971,-4.268741,0.641668
0.020000,3.657998,13.186433,3.969624,5.757807,2.655639,-4.066600,0.654416
0.020000,3.749743,13.257724,4.085811,5.809373,2.578270,-3.868437,0.666673
0.020000,3.841409,13.330735,4.203000,5.859467,2.504690,-3.679015,0.678415
0.020000,3.932987,13.405409,4.321163,5.908159,2.434636,-3.502703,0.689616
0.020000,4.024471,13.481684,4.440274,5.955515,2.367765,-3.343533,0.700254
0.020000,4.115862,13.559500,4.560306,6.001588,2.303664,-3.205090,0.710305
0.020000,4.207168,13.638790,4.681234,6.046425,2.241853,-3.090543,0.719750
0.020000,4.298399,13.719489,4.803035,6.090061,2.181799,-3.002692,0.728566
0.020000,4.389573,13.801529,4.925686,6.132519,2.122921,-2.943921,0.736733
0.020000,4.480711,13.884837,5.049162,6.173811,2.064594,-2.916311,0.744231
0.020000,4.571839,13.969340,5.173441,6.213934,2.006162,-2.921640,0.751040
0.020000,4.662988,14.054963,5.298498,6.252873,1.946932,-2.961456,0.757139
0.020000,4.754190,14.141628,5.424310,6.290597,1.886191,-3.037071,0.762507
0.020000,4.845486,14.229251,5.550851,6.327061,1.823197,-3.149716,0.767122
0.020000,4.936914,14.317749,5.678095,6.362205,1.757188,-3.300414,0.770960
0.020000,5.028522,14.407031,5.806014,6.395952,1.687385,-3.490147,0.773999
0.020000,5.120210,14.496864,5.934376,6.418080,1.106398,-29.049375,0.776209
0.020000,5.211748,14.586870,6.062751,6.418745,0.033238,-53.657977,0.777563
0.020000,5.302914,14.676674,6.190720,6.398463,-1.014091,-52.366492,0.778044
0.020000,5.393368,14.765785,6.317695,6.348770,-2.484666,-73.528749,0.777645
0.020000,5.482780,14.853723,6.443105,6.270463,-3.915349,-71.534149,0.776373
0.020000,5.570952,14.940146,6.566568,6.173174,-4.864429,-47.453956,0.774243
0.020000,5.657686,15.024728,6.687717,6.057420,-5.787703,-46.163717,0.771281
0.020000,5.742909,15.107278,6.806365,5.932415,-6.250249,-23.127284,0.767517
0.020000,5.826678,15.187748,6.922523,5.807911,-6.225223,1.251302,0.762974
0.020000,5.909057,15.266108,7.036218,5.684733,-6.158910,3.315621,0.757677
0.020000,5.990102,15.342329,7.147474,5.562819,-6.095681,3.161449,0.751646
0.020000,6.069863,15.416388,7.256317,5.442123,-6.034773,3.045424,0.744903
0.020000,6.148385,15.488266,7.362769,5.322615,-5.975443,2.966498,0.737469
0.020000,6.225704,15.557948,7.466854,5.204275,-5.916973,2.923506,0.729365
