dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000082,13.000000,0.000199,0.019940,0.996993,49.849633,0.000018
0.020000,0.000879,13.000000,0.000997,0.059820,1.993985,49.849633,0.000190
0.020000,0.002674,13.000001,0.002792,0.119639,2.990978,49.849633,0.000578
0.020000,0.005864,13.000004,0.005982,0.199399,3.987971,49.849633,0.001269
0.020000,0.010650,13.000012,0.010768,0.279158,3.987971,-0.000000,0.002306
0.020000,0.017030,13.000031,0.017148,0.358917,3.987971,0.000000,0.003689
0.020000,0.025006,13.000068,0.025124,0.438677,3.987971,0.000000,0.005421
0.020000,0.034577,13.000130,0.034695,0.518436,3.987971,-0.000000,0.007503
0.020000,0.045743,13.000227,0.045862,0.598196,3.987971,0.000000,0.009936
0.020000,0.058504,13.000371,0.058623,0.677955,3.987971,0.000000,0.012723
0.020000,0.072859,13.000577,0.072980,0.757714,3.987971,0.000000,0.015865
0.020000,0.088808,13.000858,0.088932,0.837474,3.987971,0.000000,0.019367
0.020000,0.106352,13.001231,0.106479,0.917233,3.987971,-0.000000,0.023230
0.020000,0.125488,13.001716,0.125621,0.996993,3.987971,0.000000,0.027458
0.020000,0.146216,13.002333,0.146359,1.076752,3.987971,-0.000000,0.032053
0.020000,0.168535,13.003104,0.168691,1.156511,3.987971,0.000000,0.037019
0.020000,0.192444,13.004054,0.192619,1.236271,3.987971,-0.000000,0.042361
0.020000,0.217941,13.005208,0.218142,1.316030,3.987971,0.000000,0.048080
0.020000,0.245024,13.006593,0.245260,1.395790,3.987971,-0.000000,0.054181
0.020000,0.273690,13.008241,0.273974,1.475549,3.987971,0.000000,0.060667
0.020000,0.303936,13.010183,0.304282,1.555309,3.987971,0.000000,0.067543
0.020000,0.335759,13.012452,0.336186,1.635068,3.987971,-0.000000,0.074810
0.020000,0.369154,13.015083,0.369685,1.714827,3.987971,0.000000,0.082474
0.020000,0.404117,13.018115,0.404779,1.794587,3.987971,0.000000,0.090535
0.020000,0.440642,13.021587,0.441468,1.874346,3.987971,-0.000000,0.098998
0.020000,0.478722,13.025539,0.479753,1.954106,3.987971,0.000000,0.107864
0.020000,0.518349,13.030016,0.519633,2.033865,3.987971,-0.000000,0.117135
0.020000,0.559516,13.035062,0.561107,2.113624,3.987971,0.000000,0.126812
0.020000,0.602212,13.040725,0.604178,2.193384,3.987971,-0.000000,0.136895
0.020000,0.646426,13.047052,0.648843,2.273143,3.987971,0.000000,0.147384
0.020000,0.692147,13.054094,0.695103,2.352903,3.987971,-0.000000,0.158278
0.020000,0.739361,13.061904,0.742959,2.432662,3.987971,0.000000,0.169573
0.020000,0.788053,13.070534,0.792410,2.512422,3.987971,0.000000,0.181265
0.020000,0.838206,13.080039,0.843456,2.592181,3.987971,0.000000,0.193351
0.020000,0.889802,13.090476,0.896097,2.671940,3.987971,-0.000000,0.205823
0.020000,0.942821,13.101901,0.950333,2.751700,3.987971,0.000000,0.218672
0.020000,0.997241,13.114373,1.006165,2.831459,3.987971,-0.000000,0.231890
0.020000,1.053039,13.127950,1.063592,2.911219,3.987971,0.000000,0.245463
0.020000,1.110190,13.142691,1.122614,2.990978,3.987971,-0.000000,0.259380
0.020000,1.168667,13.158655,1.183231,3.070737,3.987971,0.000000,0.273624
0.020000,1.228441,13.175902,1.245443,3.150497,3.987971,-0.000000,0.288176
0.020000,1.289480,13.194490,1.309251,3.230256,3.987971,0.000000,0.303019
0.020000,1.351753,13.214477,1.374653,3.310016,3.987971,0.000000,0.318129
0.020000,1.415225,13.235922,1.441651,3.389775,3.987971,-0.000000,0.333483
0.020000,1.479862,13.258880,1.510244,3.469534,3.987971,-0.000000,0.349054
0.020000,1.545625,13.283404,1.580433,3.549294,3.987971,0.000000,0.364815
0.020000,1.612477,13.309549,1.652216,3.629053,3.987971,-0.000000,0.380735
0.020000,1.680379,13.337364,1.725595,3.708813,3.987971,0.000000,0.396783
0.020000,1.749291,13.366896,1.800569,3.788572,3.987971,-0.000000,0.412926
0.020000,1.819172,13.398191,1.877138,3.868332,3.987971,0.000000,0.429129
0.020000,1.889981,13.431291,1.955302,3.948091,3.987971,0.000000,0.445356
0.020000,1.961677,13.466233,2.035061,4.027850,3.987971,-0.000000,0.461570
0.020000,2.034221,13.503054,2.116416,4.107610,3.987971,0.000000,0.477734
0.020000,2.107573,13.541785,2.199366,4.187369,3.987971,-0.000000,0.493811
0.020000,2.181693,13.582453,2.283911,4.267129,3.987971,0.000000,0.509762
0.020000,2.256545,13.625081,2.370051,4.346888,3.987971,0.000000,0.525550
0.020000,2.332092,13.669690,2.457786,4.426647,3.987971,0.000000,0.541137
0.020000,2.408301,13.716295,2.547117,4.506407,3.987971,0.000000,0.556487
0.020000,2.485141,13.764906,2.638043,4.586166,3.987971,-0.000000,0.571563
0.020000,2.562581,13.815531,2.730564,4.665926,3.987971,-0.000000,0.586332
0.020000,2.640597,13.868174,2.824680,4.745685,3.987971,0.000000,0.600758
0.020000,2.719164,13.922834,2.920391,4.825445,3.987971,-0.000000,0.614810
0.020000,2.798264,13.979505,3.017697,4.905204,3.987971,0.000000,0.628457
0.020000,2.877879,14.038181,3.116599,4.984963,3.987971,-0.000000,0.641668
0.020000,2.957998,14.098847,3.217096,5.064723,3.987971,0.000000,0.654416
0.020000,3.038612,14.161490,3.319188,5.144482,3.987971,0.000000,0.666673
0.020000,3.119716,14.226089,3.422875,5.224242,3.987971,-0.000000,0.678415
0.020000,3.201309,14.292623,3.528158,5.304001,3.987971,0.000000,0.689616
0.020000,3.283397,14.361065,3.635035,5.383760,3.987971,0.000000,0.700254
0.020000,3.365987,14.431387,3.743508,5.463520,3.987971,0.000000,0.710305
0.020000,3.449092,14.503557,3.853576,5.543279,3.987971,0.000000,0.719750
0.020000,3.532729,14.577539,3.965239,5.623039,3.987971,-0.000000,0.728566
0.020000,3.616921,14.653296,4.078498,5.702798,3.987971,0.000000,0.736733
0.020000,3.701694,14.730787,4.193351,5.782557,3.987971,-0.000000,0.744231
0.020000,3.787080,14.809967,4.309800,5.862317,3.987971,0.000000,0.751040
0.020000,3.873116,14.890788,4.427844,5.942076,3.987971,0.000000,0.757139
0.020000,3.959844,14.973200,4.547483,6.021836,3.987971,0.000000,0.762507
0.020000,4.047310,15.057149,4.668717,6.101595,3.987971,0.000000,0.767122
0.020000,4.135566,15.142577,4.791547,6.181355,3.987971,-0.000000,0.770960
