dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000109,13.150000,0.000199,0.019855,0.992761,49.638055,6.283169
0.020000,0.001068,13.150000,0.001158,0.047948,1.404664,20.595121,6.283026
0.020000,0.003226,13.149999,0.003315,0.107884,2.996797,79.606686,6.282703
0.020000,0.007062,13.149996,0.007151,0.191796,4.195561,59.938192,6.282130
0.020000,0.012816,13.149988,0.012905,0.287696,4.795019,29.972905,6.281270
0.020000,0.020488,13.149969,0.020577,0.383599,4.795159,0.006971,6.280124
0.020000,0.030078,13.149932,0.030167,0.479506,4.795322,0.008175,6.278691
0.020000,0.041586,13.149871,0.041675,0.575415,4.795491,0.008434,6.276971
0.020000,0.055012,13.149774,0.055102,0.671328,4.795638,0.007371,6.274965
0.020000,0.070357,13.149630,0.070447,0.767243,4.795738,0.004973,6.272671
0.020000,0.087618,13.149426,0.087710,0.863158,4.795753,0.000757,6.270091
0.020000,0.106798,13.149148,0.106891,0.959071,4.795644,-0.005419,6.267224
0.020000,0.127894,13.148778,0.127991,1.054978,4.795368,-0.013819,6.264070
0.020000,0.150907,13.148298,0.151009,1.150876,4.794873,-0.024733,6.260629
0.020000,0.175834,13.147689,0.175944,1.246758,4.794105,-0.038416,6.256903
0.020000,0.202676,13.146930,0.202796,1.342618,4.793002,-0.055136,6.252890
0.020000,0.231430,13.145997,0.231565,1.438448,4.791499,-0.075160,6.248592
0.020000,0.262094,13.144865,0.262250,1.534238,4.789524,-0.098733,6.244009
0.020000,0.294665,13.143509,0.294849,1.629978,4.787002,-0.126129,6.239143
0.020000,0.329141,13.141901,0.329362,1.725655,4.783850,-0.157595,6.233993
0.020000,0.365517,13.140011,0.365788,1.821255,4.779982,-0.193415,6.228563
0.020000,0.403789,13.137808,0.404123,1.916761,4.775308,-0.233688,6.222852
0.020000,0.443951,13.135262,0.444366,2.012156,4.769732,-0.278819,6.216864
0.020000,0.485998,13.132337,0.486514,2.107419,4.763156,-0.328768,6.210601
0.020000,0.529922,13.128998,0.530565,2.202529,4.755478,-0.383931,6.204064
0.020000,0.575715,13.125211,0.576514,2.297460,4.746593,-0.444216,6.197258
0.020000,0.623367,13.120936,0.624358,2.392188,4.736396,-0.509851,6.190185
0.020000,0.672869,13.116136,0.674091,2.486684,4.724780,-0.580788,6.182850
