dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000072,10.850000,0.000199,0.019855,0.992761,49.638055,6.283169
0.020000,0.000701,10.850000,0.000828,0.031472,0.580859,-20.595119,6.283026
0.020000,0.002118,10.849999,0.002244,0.070813,1.967008,69.307473,6.282703
0.020000,0.004635,10.849998,0.004762,0.125888,2.753766,39.337908,6.282130
0.020000,0.008412,10.849992,0.008539,0.188829,3.147069,19.665143,6.281270
0.020000,0.013447,10.849979,0.013574,0.251768,3.146929,-0.007012,6.280124
0.020000,0.019741,10.849956,0.019868,0.314703,3.146765,-0.008214,6.278691
0.020000,0.027294,10.849915,0.027421,0.377635,3.146596,-0.008426,6.276971
0.020000,0.036105,10.849852,0.036232,0.440564,3.146446,-0.007486,6.274965
0.020000,0.046174,10.849757,0.046302,0.503491,3.146347,-0.004987,6.272671
0.020000,0.057502,10.849624,0.057630,0.566418,3.146330,-0.000825,6.270091
0.020000,0.070087,10.849441,0.070217,0.629346,3.146437,0.005332,6.267224
0.020000,0.083931,10.849198,0.084063,0.692281,3.146712,0.013741,6.264070
0.020000,0.099032,10.848883,0.099167,0.755225,3.147205,0.024647,6.260629
0.020000,0.115391,10.848484,0.115531,0.818184,3.147971,0.038323,6.256903
0.020000,0.133007,10.847985,0.133154,0.881165,3.149072,0.055031,6.252890
0.020000,0.151881,10.847373,0.152038,0.944177,3.150572,0.075036,6.248592
0.020000,0.172012,10.846630,0.172182,1.007228,3.152545,0.098613,6.244009
0.020000,0.193400,10.845739,0.193589,1.070329,3.155065,0.126008,6.239143
0.020000,0.216045,10.844683,0.216259,1.133493,3.158214,0.157479,6.233993
0.020000,0.239947,10.843441,0.240193,1.196735,3.162079,0.193235,6.228563
0.020000,0.265107,10.841993,0.265395,1.260070,3.166751,0.233590,6.222852
0.020000,0.291524,10.840318,0.291865,1.323516,3.172323,0.278623,6.216864
0.020000,0.319199,10.838393,0.319607,1.387094,3.178897,0.328668,6.210601
0.020000,0.348133,10.836194,0.348624,1.450826,3.186571,0.383729,6.204064
