dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000091,12.000000,0.000199,0.019855,0.992761,49.638055,6.283169
0.020000,0.000885,12.000000,0.000993,0.059566,1.985522,49.638055,6.283026
0.020000,0.002672,11.999999,0.002780,0.119131,2.978283,49.638055,6.282703
0.020000,0.005849,11.999997,0.005957,0.198552,3.971044,49.638055,6.282130
0.020000,0.010614,11.999990,0.010722,0.277973,3.971044,0.000000,6.281270
0.020000,0.016968,11.999974,0.017075,0.357394,3.971044,-0.000000,6.280124
0.020000,0.024910,11.999944,0.025018,0.436815,3.971044,0.000000,6.278691
0.020000,0.034440,11.999893,0.034548,0.516236,3.971044,0.000000,6.276971
0.020000,0.045559,11.999813,0.045667,0.595657,3.971044,0.000000,6.274965
0.020000,0.058265,11.999694,0.058374,0.675078,3.971044,-0.000000,6.272671
0.020000,0.072560,11.999525,0.072670,0.754498,3.971044,0.000000,6.270091
0.020000,0.088443,11.999294,0.088554,0.833919,3.971044,-0.000000,6.267224
0.020000,0.105913,11.998988,0.106027,0.913340,3.971044,0.000000,6.264070
0.020000,0.124969,11.998591,0.125088,0.992761,3.971044,0.000000,6.260629
0.020000,0.145613,11.998086,0.145737,1.072182,3.971044,-0.000000,6.256903
0.020000,0.167842,11.997457,0.167975,1.151603,3.971044,0.000000,6.252890
0.020000,0.191655,11.996685,0.191801,1.231024,3.971044,0.000000,6.248592
0.020000,0.217053,11.995747,0.217216,1.310445,3.971044,0.000000,6.244009
0.020000,0.244032,11.994624,0.244219,1.389866,3.971044,0.000000,6.239143
0.020000,0.272593,11.993292,0.272811,1.469286,3.971044,0.000000,6.233993
0.020000,0.302732,11.991726,0.302991,1.548707,3.971044,0.000000,6.228563
0.020000,0.334448,11.989901,0.334759,1.628128,3.971044,-0.000000,6.222852
0.020000,0.367738,11.987790,0.368116,1.707549,3.971044,0.000000,6.216864
0.020000,0.402599,11.985365,0.403061,1.786970,3.971044,-0.000000,6.210601
0.020000,0.439027,11.982596,0.439595,1.866391,3.971044,-0.000000,6.204064
0.020000,0.477019,11.979454,0.477717,1.945812,3.971044,0.000000,6.197258
0.020000,0.516571,11.975906,0.517427,2.025233,3.971044,0.000000,6.190185
0.020000,0.557677,11.971920,0.558726,2.104654,3.971044,-0.000000,6.182850
0.020000,0.600332,11.967462,0.601613,2.184074,3.971044,0.000000,6.175258
0.020000,0.644529,11.962497,0.646089,2.263495,3.971044,-0.000000,6.167413
0.020000,0.690263,11.956991,0.692153,2.342916,3.971044,0.000000,6.159322
0.020000,0.737525,11.950907,0.739806,2.422337,3.971044,-0.000000,6.150990
0.020000,0.786308,11.944207,0.789047,2.501758,3.971044,0.000000,6.142425
0.020000,0.836603,11.936855,0.839876,2.581179,3.971044,0.000000,6.133634
0.020000,0.888400,11.928811,0.892294,2.660600,3.971044,-0.000000,6.124626
0.020000,0.941688,11.920038,0.946300,2.740021,3.971044,0.000000,6.115410
0.020000,0.996458,11.910496,1.001894,2.819442,3.971044,0.000000,6.105997
0.020000,1.052696,11.900146,1.059078,2.898862,3.971044,0.000000,6.096396
0.020000,1.110391,11.888949,1.117849,2.978283,3.971044,-0.000000,6.086620
0.020000,1.169529,11.876867,1.178209,3.057704,3.971044,0.000000,6.076681
0.020000,1.230096,11.863858,1.240157,3.137125,3.971044,0.000000,6.066591
0.020000,1.292077,11.849886,1.303694,3.216546,3.971044,-0.000000,6.056366
0.020000,1.355457,11.834912,1.368819,3.295967,3.971044,0.000000,6.046019
0.020000,1.420220,11.818899,1.435533,3.375388,3.971044,-0.000000,6.035567
0.020000,1.486349,11.801809,1.503835,3.454809,3.971044,0.000000,6.025024
0.020000,1.553827,11.783606,1.573725,3.534229,3.971044,-0.000000,6.014409
0.020000,1.622636,11.764256,1.645204,3.613650,3.971044,0.000000,6.003738
0.020000,1.692759,11.743726,1.718271,3.693071,3.971044,0.000000,5.993030
0.020000,1.764178,11.721982,1.792927,3.772492,3.971044,-0.000000,5.982303
0.020000,1.836874,11.698995,1.869171,3.851913,3.971044,0.000000,5.971576
0.020000,1.910828,11.674734,1.947003,3.931334,3.971044,-0.000000,5.960870
0.020000,1.986023,11.649174,2.026424,4.010755,3.971044,0.000000,5.950203
0.020000,2.062440,11.622287,2.107433,4.090176,3.971044,0.000000,5.939595
0.020000,2.140062,11.594052,2.190031,4.169597,3.971044,0.000000,5.929068
0.020000,2.218870,11.564446,2.274217,4.249017,3.971044,-0.000000,5.918642
0.020000,2.298848,11.533451,2.359992,4.328438,3.971044,0.000000,5.908337
0.020000,2.379980,11.501050,2.447355,4.407859,3.971044,0.000000,5.898174
0.020000,2.462251,11.467229,2.536306,4.487280,3.971044,0.000000,5.888174
0.020000,2.545645,11.431975,2.626846,4.566701,3.971044,0.000000,5.878356
0.020000,2.630149,11.395280,2.718974,4.646122,3.971044,-0.000000,5.868743
0.020000,2.715752,11.357137,2.812691,4.725543,3.971044,0.000000,5.859353
0.020000,2.802443,11.317543,2.907996,4.804964,3.971044,0.000000,5.850207
0.020000,2.890212,11.276495,3.004889,4.884385,3.971044,0.000000,5.841324
0.020000,2.979052,11.233997,3.103371,4.963805,3.971044,-0.000000,5.832725
0.020000,3.068956,11.190052,3.203441,5.043226,3.971044,0.000000,5.824429
0.020000,3.159922,11.144667,3.305100,5.122647,3.971044,0.000000,5.816455
0.020000,3.251946,11.097854,3.408347,5.202068,3.971044,0.000000,5.808822
0.020000,3.345029,11.049626,3.513183,5.281489,3.971044,0.000000,5.801548
0.020000,3.439173,10.999999,3.619607,5.360910,3.971044,-0.000000,5.794653
0.020000,3.534383,10.948992,3.727619,5.440331,3.971044,0.000000,5.788156
0.020000,3.630666,10.896628,3.837220,5.519752,3.971044,0.000000,5.782073
0.020000,3.728030,10.842933,3.948409,5.599173,3.971044,-0.000000,5.776425
0.020000,3.826489,10.787936,4.061187,5.678593,3.971044,0.000000,5.771229
0.020000,3.926057,10.731670,4.175553,5.758014,3.971044,-0.000000,5.766504
0.020000,4.026751,10.674171,4.291508,5.837435,3.971044,0.000000,5.762270
0.020000,4.128591,10.615478,4.409051,5.916856,3.971044,0.000000,5.758545
0.020000,4.231602,10.555636,4.528182,5.996277,3.971044,-0.000000,5.755349
0.020000,4.335808,10.494690,4.648902,6.075698,3.971044,0.000000,5.752702
0.020000,4.441239,10.432694,4.771210,6.155119,3.971044,0.000000,5.750625
0.020000,4.547756,10.369802,4.894908,6.214684,2.978283,-49.638055,5.749142
0.020000,4.655053,10.306280,5.019599,6.254395,1.985522,-49.638055,5.748272
0.020000,4.762787,10.242419,5.144838,6.269514,0.755948,-61.478732,5.748031
0.020000,4.870444,10.178614,5.269982,6.244922,-1.229575,-99.276109,5.748422
0.020000,4.977552,10.115237,5.394436,6.200476,-2.222336,-49.638055,5.749438
0.020000,5.083807,10.052553,5.517803,6.136174,-3.215097,-49.638055,5.751064
0.020000,5.188942,9.990802,5.639732,6.056753,-3.971044,-37.797377,5.753277
0.020000,5.292860,9.930114,5.760073,5.977332,-3.971044,-0.000000,5.756056
0.020000,5.395589,9.870541,5.878825,5.897911,-3.971044,0.000000,5.759378
0.020000,5.497153,9.812128,5.995989,5.818490,-3.971044,0.000000,5.763225
0.020000,5.597576,9.754919,6.111565,5.739069,-3.971044,-0.000000,5.767577
0.020000,5.696877,9.698952,6.225552,5.659648,-3.971044,0.000000,5.772415
0.020000,5.795073,9.644261,6.337951,5.580227,-3.971044,0.000000,5.777719
0.020000,5.892178,9.590880,6.448761,5.500807,-3.971044,-0.000000,5.783472
0.020000,5.988203,9.538837,6.557983,5.421386,-3.971044,0.000000,5.789654
